y,const,L,K,pop,edu,group,cl,Long,Lat
9.698298806,1,-7.780830444,-5.6765535,12.22817654,13.2,89,1,20.45340425,38.59753032
9.399673302,1,-7.874034122,-5.954212269,13.46855961,12.4,90,1,21.57841345,38.28332491
9.758816403,1,-7.902638778,-5.169132167,13.22686753,10.9,91,1,22.84505293,38.6569404
9.510822307,1,-7.848916499,-5.522927469,13.28250749,12.3,92,1,22.45583654,37.36076429
9.541133625,1,-7.931264976,-5.64407935,14.80835484,18.7,93,1,-7.902322016,42.75544108
9.620096047,1,-7.966825822,-5.520708457,13.87951769,21.7,94,1,-5.985774595,43.29844526
9.727056037,1,-7.855649631,-5.448412687,13.18740177,23.4,95,1,-4.029158713,43.20127887
9.99802109,1,-7.712297532,-5.288955603,14.54941573,32,96,1,-2.614695454,43.04461368
10.03519899,1,-7.570108763,-4.940620036,13.21767356,29.9,97,1,-1.64586919,42.68062252
9.905734571,1,-7.68167403,-5.210059651,12.52270654,22.9,98,1,-2.502809164,42.27912601
9.839808089,1,-7.702679205,-5.180318202,13.99849856,23.8,99,1,-0.669598363,41.51176333
10.08594079,1,-7.629821873,-5.118142856,15.49324243,31.4,100,1,-3.711102276,40.49670156
9.695884847,1,-7.856626475,-5.38738423,14.71875658,23.4,101,1,-4.783443097,41.75524896
9.545107945,1,-7.9049192,-5.566322173,14.37323885,15.5,102,1,-3.00334771,39.57831069
9.340906411,1,-8.038506168,-5.67139992,13.87302446,16.2,103,1,-6.150532066,39.1888334
9.990893214,1,-7.633620296,-5.199656966,15.65563153,23.5,104,1,1.52016509,41.79884031
9.746745837,1,-7.790990676,-5.461422975,15.23090245,20.1,105,1,-0.554761435,39.39574734
10.02390603,1,-7.618298464,-4.960477177,13.62119739,17.6,106,1,2.890314147,39.56437783
9.496310546,1,-8.011406399,-5.675467922,15.80363145,18.8,107,1,-4.573781389,37.46780708
9.616053161,1,-7.899842863,-5.549916554,13.97771444,20.8,108,1,-1.479142066,38.00021017
9.685638062,1,-7.955567353,-5.943936077,11.17043516,17.7,109,1,-5.355060054,35.89718836
9.671824299,1,-7.850465574,-5.881263007,11.08521475,25.8,110,1,-2.95023123,35.29409471
9.772127799,1,-7.832628462,-5.326779775,14.32683606,18.4,111,1,-15.67706738,28.34840037
9.873101985,1,-7.782283154,-5.397534449,14.09110993,30.4,112,1,23.68278484,62.32394018
10.32968462,1,-7.522277812,-4.968432056,14.14261765,42.4,113,1,24.7490521,60.35642389
9.937674432,1,-7.772976627,-5.395866704,13.9407237,31.2,114,1,25.2085996,60.91492632
9.765747537,1,-7.863304812,-5.4547462,14.0876652,30.6,115,1,27.19564742,65.46294289
10.18406402,1,-7.390741025,-5.25743943,10.15580148,22.3,116,1,20.17851502,60.24089774
10.46571488,1,-7.5441857,-4.903133631,16.21946923,33,117,1,2.514022286,48.71106553
9.866804351,1,-7.816920981,-5.48842143,14.71452491,16.5,118,1,1.685367724,47.47282137
9.849710547,1,-7.819422157,-5.487325086,14.29487028,15.4,119,1,4.153966015,47.24318386
9.840592503,1,-7.827461757,-5.491494136,13.93299133,16,120,1,6.085351948,47.20766481
9.788826408,1,-7.820100283,-5.525483694,14.17344371,16.6,121,1,-0.520729706,48.92465896
9.898948158,1,-7.841184227,-5.461325987,14.39654112,16.1,122,1,1.017974197,49.38893216
9.737051092,1,-7.906116685,-5.650430506,15.20217735,14.4,123,1,2.740513059,50.46542857
9.778721987,1,-7.927425267,-5.570856589,14.43972022,15.3,124,1,2.810202492,49.64248162
9.978909082,1,-7.759041939,-5.379598885,14.37562908,19.5,125,1,7.433467597,48.32315945
9.910067969,1,-7.810397583,-5.430631395,14.11011859,15.5,126,1,4.547569798,48.72557321
9.776364619,1,-7.89269274,-5.570868936,14.65621962,18.2,127,1,6.145801975,48.76172099
9.861792615,1,-7.770104296,-5.495219321,14.99937045,17.4,128,1,-0.824066031,47.47405059
9.824030909,1,-7.80415296,-5.533852883,14.89474633,20.1,129,1,-2.828798393,48.17735642
9.859475515,1,-7.785892396,-5.484051644,14.89715978,20,130,1,-0.245327386,44.34667737
9.752775588,1,-7.826188524,-5.587799028,13.47986998,16.3,131,1,1.711941659,45.76893764
9.775759166,1,-7.822812673,-5.569048785,14.32056758,16.7,132,1,-0.085910885,46.1580109
9.712807123,1,-7.923974558,-5.600764537,14.66523832,19.3,133,1,3.215096095,43.58750303
9.823967454,1,-7.790838976,-5.528990068,14.76910864,23.2,134,1,1.477862178,43.76118368
9.77907434,1,-7.831405272,-5.546041015,14.08914949,18.2,135,1,3.17555982,45.64742783
9.995619152,1,-7.733102861,-5.343148766,15.5591349,23.6,136,1,5.336673684,45.43355339
9.885680442,1,-7.844309294,-5.427748578,15.33397288,20.5,137,1,6.054581704,43.95441582
9.669583328,1,-7.944122999,-5.682929664,12.49515374,14,138,1,9.103243029,42.15242991
9.441240186,1,-8.119933478,-5.82670093,12.87274751,18.7,139,1,-61.57226382,16.23046926
9.423177916,1,-8.022591919,-5.905111834,12.86164775,23.3,140,1,-61.01271735,14.64796472
9.263124393,1,-8.258416417,-5.90571959,12.01612206,18.4,141,1,-53.23473688,3.924300759
9.375451993,1,-8.167109589,-6.11457766,13.49119216,19.6,142,1,55.53272784,-21.1362961
8.119504884,1,-8.498260961,-7.285874348,11.90544041,19,143,1,45.15109748,-12.82319477
8.842811339,1,-8.063802579,-6.614019436,14.06271433,16.3,144,1,17.29425149,45.43599744
9.034832589,1,-8.049067449,-6.467061705,14.20243824,17.2,145,1,15.61193945,44.33509481
9.5597775,1,-7.679719565,-5.630497122,13.62141597,39.2,146,1,16.00691559,45.80403696
8.924826788,1,-8.012756934,-6.867600009,13.7010196,17.4,147,1,16.29312531,46.01770918
9.870531758,1,-7.229598264,-5.506501406,14.38939548,40.4,148,1,19.11062374,47.48770905
9.005140847,1,-8.123943619,-5.820466746,13.87638927,22.9,149,1,19.37022291,47.41064393
9.156416648,1,-7.838784071,-5.925932065,13.92880353,12,150,1,18.1364002,47.22671915
9.329440455,1,-7.700341516,-5.721223691,13.81978142,12.6,151,1,16.99345504,47.17698264
8.899302105,1,-8.009968645,-6.330462399,13.81422974,11.4,152,1,18.04130652,46.33461612
8.734431784,1,-8.155358915,-6.263987215,14.08092402,10.8,153,1,20.48109608,48.05259583
8.785013443,1,-8.123613691,-6.377810241,14.26280835,10.7,154,1,21.34140652,47.58573533
